Sales_ID,Car_Brand,Car_Model,Car_Variant,Year,Selling_Price,km_Driven,Mileage,Engine,Max_Power,Seats,Fuel,Transmission,Owner,Seller_Type,Sold,City_Name,City_Code,State_Name,State_Code,Region,Region_Code,Postal_Code
1,Maruti,Swift,VDI,2014,450000,145500,23.4,1248.0,74.0,5,Diesel,Manual,First Owner,Individual,Y,Mumbai,CT01,Maharashtra,ST15,West,R3,400001
2,Skoda,Rapid,Ambition,2014,370000,120000,21.14,1498.0,103.52,5,Diesel,Manual,Second Owner,Individual,Y,Ranchi,CT28,Jharkhand,ST11,East,R2,834001
3,Honda,City,EXi,2006,158000,140000,17.7,1497.0,78.0,5,Petrol,Manual,Third Owner,Individual,Y,Noida,CT12,Uttar Pradesh,ST28,Central,R1,201301
4,Hyundai,i20,Diesel,2010,225000,127000,23.0,1396.0,90.0,5,Diesel,Manual,First Owner,Individual,Y,Dehradun,CT21,Uttarakhand,ST27,Central,R1,248001
5,Maruti,Swift,BSIII,2007,130000,120000,16.1,1298.0,88.2,5,Petrol,Manual,First Owner,Individual,Y,Chennai,CT03,Tamil Nadu,ST24,South,R4,600020
6,Hyundai,Xcent,Plus,2017,440000,45000,20.14,1197.0,81.86,5,Petrol,Manual,First Owner,Individual,Y,Jaipur,CT06,Rajasthan,ST22,North,R5,302029
7,Maruti,Wagon,BSIII,2007,96000,175000,17.3,1061.0,57.5,5,LPG,Manual,First Owner,Individual,Y,Jaipur,CT06,Rajasthan,ST22,North,R5,302029
8,Maruti,800,BSII,2001,45000,5000,16.1,796.0,37.0,4,Petrol,Manual,Second Owner,Individual,Y,Pune,CT02,Maharashtra,ST15,West,R3,411002
9,Toyota,Etios,VXD,2011,350000,90000,23.59,1364.0,67.1,5,Diesel,Manual,First Owner,Individual,Y,Aurangabad,CT26,Maharashtra,ST15,West,R3,431001
10,Ford,Figo,Edition,2013,200000,169000,20.0,1399.0,68.1,5,Diesel,Manual,First Owner,Individual,Y,Bangalore,CT10,Karnataka,ST12,South,R4,560034
11,Renault,Duster,RxL,2014,500000,68000,19.01,1461.0,108.45,5,Diesel,Manual,Second Owner,Individual,Y,Dehradun,CT21,Uttarakhand,ST27,Central,R1,248001
12,Maruti,Zen,LX,2005,92000,100000,17.3,993.0,60.0,5,Petrol,Manual,Second Owner,Individual,Y,Nellore,CT25,Andhra Pradesh,ST01,South,R4,524225
13,Maruti,Swift,VDi,2009,280000,140000,19.3,1248.0,73.9,5,Diesel,Manual,Second Owner,Individual,Y,Coimbatore,CT04,Tamil Nadu,ST24,South,R4,641001
15,Maruti,Wagon,Minor,2009,180000,90000,18.9,1061.0,67.0,5,Petrol,Manual,Second Owner,Individual,Y,kanpur,CT20,Uttar Pradesh,ST28,Central,R1,208002
16,Mahindra,KUV,str,2016,400000,40000,18.15,1198.0,82.0,5,Petrol,Manual,First Owner,Individual,Y,Gangtok,CT16,Sikkim,ST23,North East,R6,737101
17,Maruti,Ertiga,VDI,2016,778000,70000,24.52,1248.0,88.5,7,Diesel,Manual,Second Owner,Individual,Y,Kochi,CT07,Kerala,ST13,South,R4,682001
18,Hyundai,i20,Asta,2012,500000,53000,23.0,1396.0,90.0,5,Diesel,Manual,Second Owner,Individual,Y,Mumbai,CT01,Maharashtra,ST15,West,R3,400001
19,Maruti,Alto,LX,2002,150000,80000,19.7,796.0,46.3,5,Petrol,Manual,Second Owner,Individual,Y,Vadodara,CT17,Gujarat,ST07,West,R3,391510
20,Hyundai,i20,CRDi,2016,680000,100000,22.54,1396.0,88.73,5,Diesel,Manual,First Owner,Individual,Y,Delhi,CT09,Delhi,ST34,North,R5,110039
21,Mahindra,Verito,BSIII,2011,174000,100000,21.0,1461.0,64.1,5,Diesel,Manual,Second Owner,Individual,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
22,Honda,WR-V,VX,2017,950000,50000,25.5,1498.0,98.6,5,Diesel,Manual,First Owner,Individual,Y,Ludhiana,CT18,Punjab,ST21,North,R5,141003
23,Maruti,Swift,ZDI,2015,525000,40000,26.59,1248.0,74.0,5,Diesel,Manual,First Owner,Individual,Y,Indore,CT22,Madhya Pradesh,ST14,Central,R1,452010
24,Maruti,SX4,ZDI,2012,600000,72000,21.5,1248.0,88.8,5,Diesel,Manual,First Owner,Individual,Y,Ludhiana,CT18,Punjab,ST21,North,R5,141003
25,Tata,Tigor,XZ,2018,500000,35000,20.3,1199.0,83.81,5,Petrol,Manual,First Owner,Individual,Y,Jaipur,CT06,Rajasthan,ST22,North,R5,302029
26,Maruti,Baleno,,2016,575000,45000,21.4,1197.0,83.1,5,Petrol,Manual,First Owner,Individual,Y,Jamshedpur,CT27,Jharkhand,ST11,East,R2,831001
27,Maruti,Alto,LXI,2017,275000,28000,24.7,796.0,47.3,5,Petrol,Manual,First Owner,Individual,Y,Aurangabad,CT26,Maharashtra,ST15,West,R3,431001
28,Chevrolet,Enjoy,Seater,2013,300000,70000,18.2,1248.0,73.8,7,Diesel,Manual,First Owner,Individual,Y,Kolkata,CT08,West Bengal,ST29,East,R2,700027
29,Maruti,Wagon,Minor,2009,220000,120000,18.9,1061.0,67.0,5,Petrol,Manual,First Owner,Individual,Y,Ranchi,CT28,Jharkhand,ST11,East,R2,834001
30,Maruti,Omni,IV,2018,254999,25000,16.8,796.0,34.2,8,Petrol,Manual,First Owner,Individual,Y,Hyderabad,CT05,Telangana,ST25,South,R4,500004
31,Maruti,Vitara,Option,2017,670000,70000,24.3,1248.0,88.5,5,Diesel,Manual,First Owner,Individual,Y,Patna,CT13,Bihar,ST04,East,R2,801110
33,Maruti,Omni,BSIV,2012,150000,35000,14.0,796.0,35.0,5,Petrol,Manual,Second Owner,Individual,Y,Thrissur,CT24,Kerala,ST13,South,R4,680004
34,Hyundai,i20,Tone,2018,730000,2388,18.6,1197.0,81.83,5,Petrol,Manual,First Owner,Individual,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
35,Maruti,Vitara,LDi,2017,650000,16200,24.3,1248.0,88.5,5,Diesel,Manual,First Owner,Individual,Y,kanpur,CT20,Uttar Pradesh,ST28,Central,R1,208002
36,Maruti,Alto,Optional,2019,330000,10000,33.44,796.0,40.3,4,CNG,Manual,Second Owner,Individual,Y,Bangalore,CT10,Karnataka,ST12,South,R4,560034
37,Maruti,Alto,Airbag,2019,366000,15000,23.95,998.0,67.1,5,Petrol,Manual,First Owner,Individual,Y,Patna,CT13,Bihar,ST04,East,R2,801110
38,Hyundai,Verna,Option,2019,1149000,5000,17.0,1591.0,121.3,5,Petrol,Manual,First Owner,Individual,Y,Indore,CT22,Madhya Pradesh,ST14,Central,R1,452010
39,Datsun,GO,D,2016,150000,42000,20.63,1198.0,67.0,5,Petrol,Manual,First Owner,Individual,Y,Coimbatore,CT04,Tamil Nadu,ST24,South,R4,641001
40,Tata,Safari,,2011,425000,60000,13.93,2179.0,138.03,7,Diesel,Manual,Second Owner,Individual,Y,kanpur,CT20,Uttar Pradesh,ST28,Central,R1,208002
41,Maruti,800,Std,2012,150000,76000,16.1,796.0,37.0,4,Petrol,Manual,First Owner,Individual,Y,Noida,CT12,Uttar Pradesh,ST28,Central,R1,201301
42,Jeep,Compass,BSIV,2019,2100000,5000,16.0,1368.0,160.77,5,Petrol,Automatic,First Owner,Individual,Y,Ranchi,CT28,Jharkhand,ST11,East,R2,834001
43,Honda,City,VX,2018,925000,28900,17.8,1497.0,117.3,5,Petrol,Manual,First Owner,Dealer,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
44,Honda,City,MT,2013,425000,86300,16.8,1497.0,116.3,5,Petrol,Manual,First Owner,Dealer,Y,Bangalore,CT10,Karnataka,ST12,South,R4,560034
45,Maruti,Swift,AT,2018,675000,23300,18.5,1197.0,83.14,5,Petrol,Automatic,First Owner,Dealer,Y,Surat,CT14,Gujarat,ST07,West,R3,395007
46,Maruti,Vitara,VDi,2018,819999,32600,24.3,1248.0,88.5,5,Diesel,Manual,First Owner,Dealer,Y,Patna,CT13,Bihar,ST04,East,R2,800002
47,Maruti,Alto,VXI,2018,390000,10300,23.95,998.0,67.05,5,Petrol,Manual,First Owner,Dealer,Y,Vellore,CT29,Tamil Nadu,ST24,South,R4,632001
48,Toyota,Fortuner,MT,2014,1500000,77000,12.55,2982.0,168.5,7,Diesel,Manual,First Owner,Dealer,Y,Mumbai,CT01,Maharashtra,ST15,West,R3,400001
